1148,1148,1148,1148,1148,1148,1148,1148,1148,1192,1224,1336,1148,1148,1148,1148,1011,486,726,1381,1472,1589,1489,151,131,679,1148,1148,1323,966,1387,618,784,1148,1148,1148,1148,1148,1148,1148,947,238,189,1339,1358,1148,1270,1266,1238,1148,1148,1311,1432,1435,1484,185,416,1148,1011,490,277,641,1382,727,277,277,277,277,521,118
1148,1148,1148,1148,1148,1148,1148,1148,1148,1062,305,1075,1148,1148,1148,1148,1011,486,596,350,1397,1592,186,78,90,450,1148,1148,1148,1059,759,970,1269,1148,1148,1148,1148,1148,1148,1148,1259,1376,1355,1254,1318,980,1223,1148,1148,1148,1148,900,498,1446,1405,271,704,1148,1005,501,277,667,319,595,277,277,277,277,986,1297
1148,1148,1193,1182,1148,1148,1148,1148,1148,382,93,661,1148,1148,1113,715,687,522,277,1020,1555,1589,1447,156,83,566,1148,1148,1146,1129,1198,1148,1148,1169,965,910,1182,1148,1148,1148,1148,1148,1148,1398,857,178,1120,1148,1148,1148,1148,774,623,1368,971,1328,1148,1148,345,370,277,277,277,277,385,696,912,1148,1148,1148
841,204,150,113,1215,1148,1148,1148,1148,720,662,876,1148,1148,664,132,152,198,356,268,1622,1646,1563,51,188,1352,1148,1172,937,785,573,864,1148,572,137,141,467,959,1406,945,1148,1148,877,1217,316,45,718,1040,1148,1148,1148,1257,880,311,1081,1148,1148,1148,1148,988,277,277,277,277,194,158,691,1148,1148,1148
260,99,29,69,1225,1466,1279,1148,1148,1148,1148,1148,1148,1148,430,91,79,142,277,1011,1648,1650,1606,917,1253,1227,1148,1313,556,167,323,733,1056,72,162,147,70,914,1382,1006,1148,1148,665,936,199,46,387,767,1084,1148,1148,1148,1148,1148,1148,1211,1206,1148,1148,1148,988,277,277,277,404,31,1028,1148,1205,773
18,11,94,65,893,1148,1396,1408,1148,1148,1148,1148,1148,1148,547,80,133,215,334,1011,1567,1604,1305,158,691,1148,1148,1148,1148,1148,1148,1148,905,62,96,67,59,650,327,765,1148,1121,304,176,1074,951,844,541,644,1105,1148,1148,1148,1148,1213,104,154,210,847,1148,1148,988,277,277,553,1112,1200,1148,1273,544
140,20,2,4,953,1148,732,790,1148,901,714,1045,1014,1014,1283,183,52,683,224,854,1556,1589,1425,34,921,1007,1007,1007,1007,1148,1148,1148,1087,384,16,57,258,1109,1274,1276,1148,1118,261,87,288,411,635,417,789,1148,1148,1148,1148,1148,1175,68,30,100,274,1148,1148,1148,988,277,277,989,1143,1148,1148,1246
1403,86,10,1069,1148,1148,1148,1148,1148,453,110,649,482,482,534,619,666,410,277,1286,1525,1522,1490,700,514,483,483,483,483,1024,694,908,1148,1308,47,98,1306,1148,1148,1148,1148,1231,939,73,448,627,206,729,1220,1148,787,1092,1148,1148,886,64,95,12,19,976,1148,1148,1207,1455,548,356,325,1191,1148,1148
346,958,1338,1310,1148,1148,1148,1148,904,229,337,277,277,277,277,277,277,277,277,746,697,1385,353,424,277,277,277,277,277,645,109,524,1148,1300,942,913,1284,1148,1148,1148,1148,1148,1148,915,929,954,882,1195,1148,1148,950,1186,1148,1148,941,48,1411,44,179,1104,1148,1148,1148,1011,490,277,277,787,1092,1148
126,546,1148,1148,1148,1148,1148,1148,1240,631,363,277,277,298,395,363,277,277,277,963,1434,1444,1534,398,796,926,926,926,427,277,277,481,983,1148,1148,1148,1255,1395,1321,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1268,1429,15,88,1361,1148,1148,1148,1148,1011,490,277,277,946,1186,1148
